 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
| 167913 |          455 |   7.885 (/pb) |   [1-126], [128-432] |   7.609 (/pb) |
| 172620 |          525 |   9.436 (/pb) |              [1-495] |   9.224 (/pb) |
| 172630 |          176 |   7.271 (/pb) |   [36-64], [68-134], |   5.114 (/pb) |
|        |              |               |            [139-160] |               |
| 172635 |          282 |  10.674 (/pb) |     [1-18], [24-268] |  10.203 (/pb) |
| 172778 |          139 |   2.941 (/pb) |              [48-97] |   1.987 (/pb) |
| 172791 |         1684 |  55.219 (/pb) | [65-413], [418-569], |  51.850 (/pb) |
|        |              |               |           [571-715], |               |
|        |              |               |          [721-1295], |               |
|        |              |               |         [1300-1536], |               |
|        |              |               |         [1542-1645], |               |
|        |              |               |          [1649-1658] |               |
| 172798 |           36 | 930.462 (/nb) |               [1-31] | 721.447 (/nb) |
| 172799 |          379 |   9.325 (/pb) |              [1-367] |   8.914 (/pb) |
| 172801 |         1155 |  24.026 (/pb) |  [1-679], [681-750], |  22.776 (/pb) |
|        |              |               |           [753-766], |               |
|        |              |               |           [768-815], |               |
|        |              |               |           [819-837], |               |
|        |              |               |           [839-861], |               |
|        |              |               |           [863-909], |               |
|        |              |               |           [911-1139] |               |
| 172802 |          819 |  13.681 (/pb) |   [1-629], [634-784] |  13.204 (/pb) |
| 172819 |          263 |   9.680 (/pb) |    [57-87], [92-254] |   8.148 (/pb) |
| 172822 |         2341 |  69.792 (/pb) |    [1-75], [77-127], |  67.625 (/pb) |
|        |              |               |           [133-353], |               |
|        |              |               |           [358-662], |               |
|        |              |               |           [667-832], |               |
|        |              |               |          [837-1096], |               |
|        |              |               |         [1102-1112], |               |
|        |              |               |         [1118-2121], |               |
|        |              |               |          [2127-2333] |               |
| 172824 |           88 |   1.083 (/pb) |               [1-54] |   1.041 (/pb) |
| 172847 |          165 |   3.934 (/pb) |             [62-131] |   2.960 (/pb) |
| 172865 |          391 |  16.425 (/pb) |  [36-151], [157-382] |  14.572 (/pb) |
| 172868 |         2090 |  59.449 (/pb) |    [1-29], [34-708], |  58.138 (/pb) |
|        |              |               |           [714-909], |               |
|        |              |               |          [912-1829], |               |
|        |              |               |          [1835-1970] |               |
| 172949 |         1311 |  47.025 (/pb) | [55-127], [133-159], |  43.673 (/pb) |
|        |              |               |           [161-263], |               |
|        |              |               |           [269-274], |               |
|        |              |               |           [276-892], |               |
|        |              |               |           [898-928], |               |
|        |              |               |           [933-1287] |               |
| 172951 |           70 |   2.068 (/pb) |               [1-52] |   1.458 (/pb) |
| 172952 |         1672 |  37.667 (/pb) |  [1-195], [197-670], |  36.868 (/pb) |
|        |              |               |           [675-797], |               |
|        |              |               |          [799-1164], |               |
|        |              |               |          [1169-1562] |               |
| 172992 |          978 |  37.851 (/pb) |           [505-511], |  14.003 (/pb) |
|        |              |               |           [516-713], |               |
|        |              |               | [752-874], [880-946] |               |
