 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
|        |              |               | [236-392], [394-434] |               |
| 177452 |          175 |   8.867 (/pb) |   [1-156], [158-169] |   8.551 (/pb) |
| 177718 |         1652 |  82.285 (/pb) |   [53-62], [64-482], |  73.350 (/pb) |
|        |              |               |           [485-512], |               |
|        |              |               |           [515-518], |               |
|        |              |               |           [520-520], |               |
|        |              |               |           [560-568], |               |
|        |              |               |           [570-572], |               |
|        |              |               |           [590-591], |               |
|        |              |               |           [596-614], |               |
|        |              |               |           [629-638], |               |
|        |              |               |           [641-644], |               |
|        |              |               |           [651-656], |               |
|        |              |               |           [659-697], |               |
|        |              |               |           [699-701], |               |
|        |              |               |           [703-703], |               |
|        |              |               |          [706-1572], |               |
|        |              |               |          [1575-1635] |               |
| 177719 |          713 |  23.871 (/pb) |  [1-194], [197-694], |  23.037 (/pb) |
|        |              |               |            [696-704] |               |
| 177730 |         2325 | 108.084 (/pb) |   [49-88], [91-234], | 103.645 (/pb) |
|        |              |               |           [237-448], |               |
|        |              |               |           [451-701], |               |
|        |              |               |           [704-773], |               |
|        |              |               |           [776-931], |               |
|        |              |               |          [933-1470], |               |
|        |              |               |         [1473-1763], |               |
|        |              |               |         [1766-1956], |               |
|        |              |               |         [1959-2266], |               |
|        |              |               |          [2268-2303] |               |
| 177776 |          121 |   4.328 (/pb) |             [73-108] |   2.231 (/pb) |
| 177782 |          237 |  12.678 (/pb) |    [72-75], [78-226] |   9.772 (/pb) |
| 177783 |          387 |  22.701 (/pb) |    [1-94], [97-176], |  20.413 (/pb) |
|        |              |               | [178-234], [237-363] |               |
| 177788 |           88 |   4.287 (/pb) |               [1-46] |   2.103 (/pb) |
| 177789 |          101 |   4.742 (/pb) |     [1-38], [41-82], |   3.473 (/pb) |
|        |              |               |              [84-86] |               |
| 177790 |          722 |  29.451 (/pb) |   [1-189], [191-715] |  28.669 (/pb) |
| 177791 |          228 |   7.676 (/pb) |    [1-27], [30-109], |   5.752 (/pb) |
|        |              |               |            [137-198] |               |
| 177875 |          597 |  33.747 (/pb) | [71-214], [217-367], |  30.257 (/pb) |
|        |              |               | [370-448], [451-589] |               |
| 177878 |          859 |  37.777 (/pb) |  [1-138], [143-492], |  36.857 (/pb) |
|        |              |               | [495-837], [839-849] |               |
| 178098 |          721 |  43.894 (/pb) | [16-120], [122-142], |  40.166 (/pb) |
|        |              |               |           [144-152], |               |
|        |              |               |           [155-179], |               |
|        |              |               |           [181-249], |               |
|        |              |               |           [251-549], |               |
|        |              |               |           [551-576], |               |
|        |              |               |           [579-619], |               |
|        |              |               | [622-677], [679-707] |               |
| 178099 |          222 |  11.078 (/pb) |              [1-192] |   9.217 (/pb) |
| 178100 |         1631 |  61.198 (/pb) |    [1-40], [43-163], |  59.413 (/pb) |
|        |              |               |           [166-511], |               |
|        |              |               |           [514-529], |               |
|        |              |               |          [532-1114], |               |
|        |              |               |          [1117-1613] |               |
| 178101 |           81 |   2.377 (/pb) |      [1-61], [64-75] |   2.041 (/pb) |
| 178102 |           31 | 524.299 (/nb) |               [1-13] | 316.650 (/nb) |
| 178110 |          474 |  29.714 (/pb) | [51-133], [135-197], |  26.536 (/pb) |
|        |              |               |           [199-246], |               |
|        |              |               | [252-396], [401-468] |               |
| 178116 |          631 |  33.410 (/pb) |   [1-120], [122-615] |  32.459 (/pb) |
| 178151 |          135 |   5.813 (/pb) |             [47-122] |   4.982 (/pb) |
| 178160 |          554 |  33.280 (/pb) |  [51-456], [458-534] |  30.729 (/pb) |
| 178162 |          193 |   9.420 (/pb) |       [1-4], [7-55], |   8.751 (/pb) |
|        |              |               |  [58-146], [149-175] |               |
| 178365 |         1103 |  63.996 (/pb) |   [43-96], [98-238], |  57.873 (/pb) |
|        |              |               |           [241-380], |               |
