 ==  = 
|    Run:Fill | Delivered LS |     Delivered |          Selected LS |      Recorded |
| 177319:2165 |          389 |  18.916 (/pb) |              [1-368] |  18.472 (/pb) |
| 177449:2168 |          528 |  32.689 (/pb) |             [56-434] |  24.866 (/pb) |
| 177452:2168 |          175 |   9.048 (/pb) |              [1-170] |   8.725 (/pb) |
| 177507:2171 |          179 |  10.069 (/pb) |  [51-147], [149-177] |   8.126 (/pb) |
| 177509:2171 |          206 |  12.919 (/pb) |              [1-196] |  11.759 (/pb) |
| 177515:2171 |         1245 |  56.084 (/pb) |             [1-1188] |  54.627 (/pb) |
| 177718:2177 |         1652 |  83.747 (/pb) | [53-512], [515-518], |  75.005 (/pb) |
|             |              |               |           [520-520], |               |
|             |              |               |           [560-568], |               |
|             |              |               |           [570-572], |               |
|             |              |               |           [590-591], |               |
|             |              |               |           [596-614], |               |
|             |              |               |           [629-638], |               |
|             |              |               |           [641-644], |               |
|             |              |               |           [651-697], |               |
|             |              |               |           [699-701], |               |
|             |              |               |           [703-703], |               |
|             |              |               |           [706-1635] |               |
| 177719:2177 |          713 |  23.984 (/pb) |              [1-704] |  23.247 (/pb) |
| 177730:2178 |         2325 | 109.871 (/pb) |            [49-2303] | 106.236 (/pb) |
| 177776:2180 |          121 |   4.492 (/pb) |             [73-108] |   2.317 (/pb) |
| 177782:2181 |          237 |  13.100 (/pb) |    [72-75], [78-226] |  10.098 (/pb) |
| 177783:2181 |          387 |  23.216 (/pb) |              [1-376] |  21.198 (/pb) |
| 177785:2181 |           55 |   2.930 (/pb) |               [1-49] |  12.754 (/nb) |
| 177786:2181 |          133 |   6.833 (/pb) |              [1-104] | 119.567 (/nb) |
| 177788:2181 |           88 |   4.344 (/pb) |               [1-46] |   2.132 (/pb) |
| 177789:2181 |          101 |   4.799 (/pb) |      [1-82], [84-86] |   3.610 (/pb) |
| 177790:2181 |          722 |  29.699 (/pb) |              [1-715] |  28.954 (/pb) |
| 177791:2181 |          228 |   7.717 (/pb) |              [1-198] |   6.797 (/pb) |
| 177875:2182 |          597 |  34.595 (/pb) |             [71-589] |  31.369 (/pb) |
| 177878:2182 |          859 |  38.199 (/pb) |              [1-849] |  37.592 (/pb) |
| 178078:2194 |           97 |   7.019 (/pb) |      [5-23], [25-84] |   5.387 (/pb) |
| 178098:2195 |          721 |  45.034 (/pb) |             [16-707] |  41.919 (/pb) |
| 178099:2195 |          222 |  11.238 (/pb) |              [1-192] |   9.352 (/pb) |
| 178100:2195 |         1631 |  61.635 (/pb) |             [1-1613] |  60.251 (/pb) |
| 178101:2195 |           81 |   2.384 (/pb) |               [1-75] |   2.105 (/pb) |
| 178102:2195 |           31 | 525.765 (/nb) |               [1-13] | 317.544 (/nb) |
| 178110:2197 |          474 |  30.709 (/pb) | [51-133], [135-396], |  27.838 (/pb) |
