 ==  = 
|    Run |             SelectedLS |     Recorded |                HLTpath |              L1bit |    Effective |
| 166462 |   [78-102], [108-317], |   9.374(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   9.374(/pb) |
|        |              [323-526] |              |             IsoL_v2(1) |                    |              |
| 166462 |   [78-102], [108-317], |   9.374(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 468.677(/nb) |
|        |              [323-526] |              |                  v2(1) |                    |              |
| 166486 |      [54-75], [80-95], |   2.310(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   2.310(/pb) |
|        |               [97-174] |              |             IsoL_v2(1) |                    |              |
| 166486 |      [54-75], [80-95], |   2.310(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 115.479(/nb) |
|        |               [97-174] |              |                  v2(1) |                    |              |
| 166502 |      [43-78], [83-109] |   1.419(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.419(/pb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166502 |      [43-78], [83-109] |   1.419(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  70.944(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166512 |   [42-430], [432-487], |  37.882(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  37.882(/pb) |
|        | [491-605], [611-1279], |              |             IsoL_v2(1) |                    |              |
|        |           [1281-1818], |              |                        |                    |              |
|        |           [1821-1862], |              |                        |                    |              |
|        |           [1868-1868], |              |                        |                    |              |
|        |           [1870-1871], |              |                        |                    |              |
|        |            [1873-1874] |              |                        |                    |              |
| 166512 |   [42-430], [432-487], |  37.882(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   1.894(/pb) |
|        | [491-605], [611-1279], |              |                  v2(1) |                    |              |
|        |           [1281-1818], |              |                        |                    |              |
|        |           [1821-1862], |              |                        |                    |              |
|        |           [1868-1868], |              |                        |                    |              |
|        |           [1870-1871], |              |                        |                    |              |
|        |            [1873-1874] |              |                        |                    |              |
| 166514 |     [1-455], [460-463] |   7.344(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |   7.344(/pb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166514 |     [1-455], [460-463] |   7.344(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 487.074(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166530 |                [43-63] | 458.028(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 458.028(/nb) |
|        |                        |              |             IsoL_v2(1) |                    |              |
| 166530 |                [43-63] | 458.028(/nb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  15.268(/nb) |
|        |                        |              |                  v2(1) |                    |              |
| 166554 |   [46-218], [224-287], |  16.049(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) |  16.049(/pb) |
|        |  [290-317], [320-595], |              |             IsoL_v2(1) |                    |              |
|        |  [597-730], [732-734], |              |                        |                    |              |
|        |              [736-736] |              |                        |                    |              |
| 166554 |   [46-218], [224-287], |  16.049(/pb) | HLT_Photon90_CaloIdVL_ | "L1_SingleEG20"(1) | 802.430(/nb) |
|        |  [290-317], [320-595], |              |                  v2(1) |                    |              |
|        |  [597-730], [732-734], |              |                        |                    |              |
|        |              [736-736] |              |                        |                    |              |
