 ==  = 
|    Run |             SelectedLS |     Recorded |             HLTpath |              L1bit |    Effective |
|        |              [681-911] |              |                     |                    |              |
| 166701 |      [1-13], [16-319], |  12.494(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  12.494(/pb) |
|        |  [324-506], [513-551], |              |                     |                    |              |
|        |  [557-672], [681-705], |              |                     |                    |              |
|        |  [712-724], [731-757], |              |                     |                    |              |
|        |   [764-777], [783-792] |              |                     |                    |              |
| 166763 |    [46-168], [174-650] |  13.383(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  13.383(/pb) |
| 166781 |   [41-111], [115-115], |   7.883(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   7.883(/pb) |
|        |  [117-233], [236-253], |              |                     |                    |              |
|        |              [255-382] |              |                     |                    |              |
| 166782 |                [1-569] |  11.875(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  11.875(/pb) |
| 166784 |    [1-114], [119-276], |   6.529(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   6.529(/pb) |
|        |              [281-364] |              |                     |                    |              |
| 166787 |      [1-55], [60-127], |   6.068(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   6.068(/pb) |
|        |              [132-364] |              |                     |                    |              |
| 166839 |   [43-173], [178-297], |   5.254(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   5.254(/pb) |
|        |              [299-301] |              |                     |                    |              |
| 166841 |    [1-845], [851-876], |  20.021(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |  20.021(/pb) |
|        |  [882-977], [984-984], |              |                     |                    |              |
|        |  [988-992], [998-1015] |              |                     |                    |              |
| 166842 |                [1-169] |   2.889(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   2.889(/pb) |
| 166859 |   [62-418], [421-421], |   8.592(/pb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) |   8.592(/pb) |
|        |              [423-423] |              |                     |                    |              |
| 166860 |                 [1-20] | 404.801(/nb) | HLT_Photon125_v2(1) | "L1_SingleEG20"(1) | 404.786(/nb) |
