 ==  = 
|    Run |            SelectedLS |     Recorded |                HLTpath |                  L1bit |    Effective |
|        | [220-222], [226-581], |              |      210,720,1010,510) |                        |              |
|        |  [590-686], [688-691] |              |                        |                        |              |
| 171156 |  [42-106], [111-214], |  17.983(/pb) | HLT_HT500_v8(1440,360, |         "L1_HTT100"(1) |   2.076(/pb) |
|        | [220-222], [226-581], |              |      210,720,1010,510) |                        |              |
|        |  [590-686], [688-691] |              |                        |                        |              |
| 171156 |  [42-106], [111-214], |  17.983(/pb) | HLT_HT550_v8(1440,360, |         "L1_HTT100"(1) |  17.983(/pb) |
|        | [220-222], [226-581], |              |      210,720,1010,510) |                        |              |
|        |  [590-686], [688-691] |              |                        |                        |              |
| 171156 |  [42-106], [111-214], |  17.983(/pb) | HLT_HT600_v1(1440,360, |         "L1_HTT100"(1) |  17.983(/pb) |
|        | [220-222], [226-581], |              |      210,720,1010,510) |                        |              |
|        |  [590-686], [688-691] |              |                        |                        |              |
| 171178 |     [1-92], [97-205], |  21.865(/pb) | HLT_HT150_v8(1440,360, |    "L1_HTT50"(1,10,30) |   1.305(/nb) |
|        | [210-551], [556-557], |              |      210,720,1010,510) |                        |              |
|        | [563-787], [792-810], |              |                        |                        |              |
|        |            [815-1043] |              |                        |                        |              |
| 171178 |     [1-92], [97-205], |  21.865(/pb) | HLT_HT200_v8(1440,360, |       "L1_HTT75"(1,10) |  32.370(/nb) |
|        | [210-551], [556-557], |              |      210,720,1010,510) |                        |              |
|        | [563-787], [792-810], |              |                        |                        |              |
|        |            [815-1043] |              |                        |                        |              |
| 171178 |     [1-92], [97-205], |  21.865(/pb) | HLT_HT250_v8(1440,360, |         "L1_HTT100"(1) |  79.676(/nb) |
|        | [210-551], [556-557], |              |      210,720,1010,510) |                        |              |
|        | [563-787], [792-810], |              |                        |                        |              |
|        |            [815-1043] |              |                        |                        |              |
| 171178 |     [1-92], [97-205], |  21.865(/pb) | HLT_HT300_v9(1440,360, |         "L1_HTT100"(1) | 153.519(/nb) |
|        | [210-551], [556-557], |              |      210,720,1010,510) |                        |              |
|        | [563-787], [792-810], |              |                        |                        |              |
|        |            [815-1043] |              |                        |                        |              |
